location,date,total_deaths,total_cases,new_cases_per_million,total_vaccinations_per_hundred,total_cases_per_million,total_deaths_per_million
Albania,2020-03,10.0,212.0,74.586,0.0,74.587,3.518
Albania,2020-04,30.0,750.0,189.283,0.0,263.869,10.555
Albania,2020-05,33.0,1099.0,122.787,0.0,386.656,11.61
Albania,2020-06,55.0,2402.0,458.429,0.0,845.085,19.35
Albania,2020-07,150.0,5105.0,950.985,0.0,1796.069,52.774
Albania,2020-08,275.0,9279.0,1468.517,0.0,3264.589,96.752
Albania,2020-09,380.0,13391.0,1446.7069999999999,0.0,4711.295,133.694
Albania,2020-10,499.0,20315.0,2436.04,0.0,7147.335,175.561
Albania,2020-11,787.0,36790.0,5796.327,0.0,12943.661,276.887
Albania,2020-12,1170.0,57146.0,7161.764,0.0,20105.421,411.636
Albania,2021-01,1358.0,76350.0,6756.459,0.02,26861.878,477.779
Albania,2021-02,1756.0,105229.0,10160.369,0.36,37022.247,617.806
Albania,2021-03,2216.0,124419.0,6751.531,4.88,43773.779,779.645
Albania,2021-04,2386.0,130859.0,2265.757,16.78,46039.535,839.456
Albania,2021-05,2449.0,132297.0,505.92400000000004,27.32,46545.46,861.621
Albania,2021-06,2456.0,132513.0,75.995,34.06,46621.455,864.083
Albania,2021-07,2457.0,132999.0,170.99,42.18,46792.442,864.435
Albania,2021-08,2492.0,144847.0,4168.43,51.8,50960.871,876.749
Albania,2021-09,2668.0,168782.0,8420.944,61.27,59381.814,938.67
Albania,2021-10,2909.0,184340.0,5473.701,66.91,64855.516,1023.46
Albania,2021-11,3089.0,199555.0,5353.027,73.92,70208.541,1086.789
Albania,2021-12,3212.0,208899.0,3287.456,81.5,73495.999,1130.064
Albania,2022-01,3337.0,257082.0,16952.009,88.79,90448.008,1174.042
Albania,2022-02,3462.0,271425.0,5046.234,95.09,95494.241,1218.02
Albania,2022-03,3492.0,273529.0,740.241,97.35,96234.482,1228.575
Albania,2022-04,3496.0,274929.0,492.55600000000004,98.56,96727.038,1229.982
Albania,2022-05,3497.0,276081.0,405.303,101.1,97132.341,1230.334
Albania,2022-06,3498.0,279167.0,1085.736,102.24,98218.074,1230.686
Albania,2022-07,3538.0,309278.0,10593.817000000001,103.46,108811.892,1244.759
Albania,2022-08,3582.0,327425.0,6384.577,104.01,115196.47,1260.239
Albania,2022-09,3589.0,330983.0,1251.7939999999999,104.78,116448.265,1262.702
Albania,2022-10,3593.0,331783.0,281.46,105.42,116729.726,1264.109
Albania,2022-11,3594.0,332224.0,155.156,106.16,116884.881,1264.461
Albania,2022-12,3596.0,332768.0,191.393,106.45,117076.274,1265.165
Austria,2020-03,91.0,6100.0,682.0210000000001,0.0,682.356,10.179
Austria,2020-04,559.0,12195.0,681.795,0.0,1364.152,62.531
Austria,2020-05,659.0,13396.0,134.349,0.0,1498.498,73.717
Austria,2020-06,725.0,14414.0,113.879,0.0,1612.373,81.1
Austria,2020-07,761.0,17656.0,362.656,0.0,1975.029,85.127
Austria,2020-08,813.0,23908.0,699.357,0.0,2674.388,90.943
Austria,2020-09,903.0,41004.0,1912.387,0.0,4586.774,101.011
Austria,2020-10,1337.0,98217.0,6399.941,0.0,10986.712,149.559
Austria,2020-11,3985.0,275191.0,19796.596999999998,0.0,30783.31,445.769
Austria,2020-12,7378.0,352657.0,8665.47,0.0,39448.782,825.315
Austria,2021-01,9277.0,405558.0,5917.591,2.97,45366.373,1037.74
Austria,2021-02,10308.0,448597.0,4814.414,8.0,50180.785,1153.07
Austria,2021-03,11273.0,532823.0,9421.655,18.31,59602.442,1261.016
Austria,2021-04,12287.0,606612.0,8254.158,37.06,67856.598,1374.444
Austria,2021-05,12794.0,634519.0,3121.7200000000003,58.61,70978.32,1431.158
Austria,2021-06,12940.0,640729.0,694.6610000000001,85.92,71672.981,1447.489
Austria,2021-07,13008.0,649034.0,929.011,110.98,72601.992,1455.096
Austria,2021-08,13100.0,677409.0,3174.074,118.86,75776.065,1465.387
Austria,2021-09,13380.0,732483.0,6160.668,123.43,81936.732,1496.708
Austria,2021-10,13819.0,816961.0,9449.848,131.2,91386.577,1545.816
Austria,2021-11,15281.0,1142070.0,36367.217,156.45,127753.795,1709.357
Austria,2021-12,16685.0,1264528.0,13698.353000000001,186.55,141452.145,1866.411
Austria,2022-01,17082.0,1828708.0,63110.087,198.67,204562.231,1910.82
Austria,2022-02,17806.0,2662465.0,93265.402,203.28,297827.636,1991.808
Austria,2022-03,18842.0,3823532.0,129878.831,204.56,427706.467,2107.697
Austria,2022-04,19617.0,4151018.0,36633.114,205.83,464339.58,2194.389
Austria,2022-05,19832.0,4266853.0,12957.492,206.92,477297.07,2218.44
Austria,2022-06,19961.0,4434838.0,18791.071,208.02,496088.143,2232.87
Austria,2022-07,20290.0,4765613.0,37001.026,211.4,533089.169,2269.672
Austria,2022-08,20575.0,4933368.0,18765.346,213.31,551854.515,2301.553
Austria,2022-09,20739.0,5114451.0,20256.236,216.86,572110.752,2319.898
Austria,2022-10,21102.0,5435951.0,35963.511,221.64,608074.261,2360.504
Austria,2022-11,21319.0,5555068.0,13324.621,225.28,621398.881,2384.778
Austria,2022-12,21579.0,5700848.0,16307.186,227.66,637706.067,2413.862
Belarus,2020-03,0.0,152.0,15.836,0.0,15.941,0.0
Belarus,2020-04,84.0,13181.0,1366.4470000000001,0.0,1382.387,8.81
Belarus,2020-05,229.0,41658.0,2986.5879999999997,0.0,4368.977,24.017
Belarus,2020-06,387.0,61790.0,2111.386,0.0,6480.366,40.587
Belarus,2020-07,559.0,67808.0,631.15,0.0,7111.517,58.626
Belarus,2020-08,676.0,71687.0,406.821,0.0,7518.336,70.897
Belarus,2020-09,828.0,78260.0,689.359,0.0,8207.694,86.838
Belarus,2020-10,977.0,97499.0,2017.731,0.0,10225.427,102.465
Belarus,2020-11,1151.0,135008.0,3933.837,0.0,14159.268,120.714
Belarus,2020-12,1414.0,192361.0,6015.027,0.0,20174.293,148.296
Belarus,2021-01,1708.0,246570.0,5685.293,0.0,25859.584,179.13
Belarus,2021-02,1966.0,285959.0,4131.009,0.22,29990.595,206.189
Belarus,2021-03,2237.0,320594.0,3632.423,0.7,33623.018,234.61
Belarus,2021-04,2532.0,357233.0,3842.596,3.45,37465.616,265.549
Belarus,2021-05,2841.0,393807.0,3835.779,8.36,41301.397,297.956
Belarus,2021-06,3132.0,416275.0,2356.384,11.26,43657.779,328.476
Belarus,2021-07,3445.0,445048.0,3017.6330000000003,23.02,46675.412,361.302
Belarus,2021-08,3768.0,480364.0,3703.844,31.08,50379.257,395.177
Belarus,2021-09,4129.0,536097.0,5845.125,38.05,56224.381,433.038
Belarus,2021-10,4614.0,598132.0,6506.062,49.99,62730.442,483.904
Belarus,2021-11,5067.0,653323.0,5788.284,66.4,68518.722,531.413
Belarus,2021-12,5561.0,697600.0,4643.652,80.84,73162.372,583.222
Belarus,2022-01,6039.0,740988.0,4550.4130000000005,105.17,77712.787,633.354
Belarus,2022-02,6470.0,917468.0,18508.738,111.69,96221.524,678.556
Belarus,2022-03,6810.0,961389.0,4606.3150000000005,121.48,100827.838,714.214
Belarus,2022-04,6943.0,979909.0,1942.328,129.47,102770.165,728.163
Belarus,2022-05,6978.0,982867.0,310.226,136.91,103080.392,731.833
Belarus,2022-06,6978.0,982867.0,0.0,138.5,103080.392,731.833
Belarus,2022-07,7118.0,994037.0,1171.479,146.63,104251.871,746.516
Belarus,2022-08,7118.0,994037.0,0.0,156.45,104251.871,746.516
Belarus,2022-09,7118.0,994037.0,0.0,165.23,104251.871,746.516
Belarus,2022-10,7118.0,994037.0,0.0,171.22,104251.871,746.516
Belarus,2022-11,7118.0,994037.0,0.0,176.17,104251.871,746.516
Belarus,2022-12,7118.0,994037.0,0.0,182.05,104251.871,746.516
Belgium,2020-03,1039.0,13558.0,1163.1,0.0,1163.185,89.139
Belgium,2020-04,7700.0,49417.0,3076.4610000000002,0.0,4239.647,660.608
Belgium,2020-05,9406.0,58854.0,809.632,0.0,5049.278,806.972
Belgium,2020-06,9723.0,61757.0,249.059,0.0,5298.336,834.168
Belgium,2020-07,9808.0,68955.0,617.54,0.0,5915.876,841.461
Belgium,2020-08,10007.0,85279.0,1400.491,0.0,7316.366,858.533
Belgium,2020-09,10130.0,119537.0,2939.1059999999998,0.0,10255.473,869.086
Belgium,2020-10,11639.0,429181.0,26565.379,0.0,36820.851,998.548
Belgium,2020-11,16839.0,578743.0,12831.413,0.0,49652.267,1444.673
Belgium,2020-12,19674.0,645277.0,5708.174,0.01,55360.438,1687.897
Belgium,2021-01,21345.0,706478.0,5250.635,2.96,60611.073,1831.258
Belgium,2021-02,22329.0,766011.0,5107.533,7.53,65718.605,1915.678
Belgium,2021-03,23144.0,875385.0,9383.555,17.21,75102.161,1985.6
Belgium,2021-04,24336.0,983584.0,9282.748,34.22,84384.909,2087.866
Belgium,2021-05,25092.0,1057103.0,6307.438,59.33,90692.346,2152.725
Belgium,2021-06,25319.0,1078057.0,1797.709,95.22,92490.058,2172.2
Belgium,2021-07,25387.0,1116224.0,3274.4719999999998,126.3,95764.531,2178.034
Belgium,2021-08,25526.0,1173816.0,4941.006,140.09,100705.538,2189.96
Belgium,2021-09,25742.0,1234498.0,5206.107,144.78,105911.647,2208.491
Belgium,2021-10,26165.0,1367535.0,11413.682,151.42,117325.329,2244.781
Belgium,2021-11,27125.0,1746222.0,32488.802,162.69,149814.133,2327.143
Belgium,2021-12,28356.0,2096712.0,30069.693,186.45,179883.824,2432.755
Belgium,2022-01,29090.0,3151446.0,90489.102,207.8,270372.925,2495.727
Belgium,2022-02,30161.0,3558680.0,34937.943999999996,215.09,305310.871,2587.611
Belgium,2022-03,30800.0,3845603.0,24616.068,217.02,329926.939,2642.433
Belgium,2022-04,31447.0,4067174.0,19009.305,217.44,348936.245,2697.942
Belgium,2022-05,31749.0,4156366.0,7652.075,218.14,356588.32,2723.851
Belgium,2022-06,31929.0,4244961.0,7600.858,220.46,364189.177,2739.294
Belgium,2022-07,32262.0,4427811.0,15687.304,220.93,379876.48,2767.863
Belgium,2022-08,32531.0,4489935.0,5329.8240000000005,221.44,385206.302,2790.942
Belgium,2022-09,32679.0,4550651.0,5209.026,237.16,390415.328,2803.639
Belgium,2022-10,32930.0,4620919.0,6028.526,251.6,396443.851,2825.173
Belgium,2022-11,33063.0,4644371.0,2012.024,253.32,398455.875,2836.584
Belgium,2022-12,33356.0,4684904.0,3477.458,253.86,401933.335,2861.721
Bosnia and Herz.,2020-03,12.0,406.0,125.56099999999999,0.0,125.559,3.711
Bosnia and Herz.,2020-04,65.0,1677.0,393.07,0.0,518.628,20.102
Bosnia and Herz.,2020-05,153.0,2494.0,252.665,0.0,771.293,47.317
Bosnia and Herz.,2020-06,184.0,4325.0,566.254,0.0,1337.548,56.904
Bosnia and Herz.,2020-07,328.0,11444.0,2201.618,0.0,3539.166,101.437
Bosnia and Herz.,2020-08,598.0,19793.0,2582.007,0.0,6121.174,184.937
Bosnia and Herz.,2020-09,843.0,27226.0,2298.723,0.0,8419.9,260.706
Bosnia and Herz.,2020-10,1212.0,48137.0,6466.927,0.0,14886.826,374.823
Bosnia and Herz.,2020-11,2620.0,87274.0,12103.49,0.0,26990.317,810.26
Bosnia and Herz.,2020-12,4050.0,110985.0,7332.853,0.0,34323.17,1252.501
Bosnia and Herz.,2021-01,4696.0,121891.0,3372.785,0.0,37695.955,1452.283
Bosnia and Herz.,2021-02,5088.0,131690.0,3030.435,0.0,40726.389,1573.513
Bosnia and Herz.,2021-03,6501.0,167654.0,11122.211,0.0,51848.599,2010.496
Bosnia and Herz.,2021-04,8494.0,197866.0,9343.352,2.5,61191.948,2626.851
Bosnia and Herz.,2021-05,9215.0,203978.0,1890.195,7.31,63082.142,2849.827
Bosnia and Herz.,2021-06,9645.0,205004.0,317.302,14.15,63399.443,2982.808
Bosnia and Herz.,2021-07,9687.0,205655.0,201.32999999999998,19.29,63600.771,2995.797
Bosnia and Herz.,2021-08,9792.0,213379.0,2388.72,28.7,65989.491,3028.269
Bosnia and Herz.,2021-09,10574.0,233775.0,6307.657,38.42,72297.149,3270.11
Bosnia and Herz.,2021-10,11528.0,253757.0,6179.624,45.76,78476.773,3565.144
Bosnia and Herz.,2021-11,12555.0,274219.0,6328.067,48.06,84804.842,3882.754
Bosnia and Herz.,2021-12,13428.0,290471.0,5026.083,48.06,89830.928,4152.737
Bosnia and Herz.,2022-01,14369.0,346651.0,17374.202,59.53,107205.129,4443.75
Bosnia and Herz.,2022-02,15435.0,371067.0,7550.881,59.53,114756.01,4773.421
Bosnia and Herz.,2022-03,15710.0,375332.0,1318.991,59.53,116075.002,4858.467
Bosnia and Herz.,2022-04,15765.0,377087.0,542.752,59.53,116617.752,4875.477
Bosnia and Herz.,2022-05,15787.0,377888.0,247.717,59.53,116865.469,4882.28
Bosnia and Herz.,2022-06,15805.0,378630.0,229.469,59.53,117094.94,4887.847
Bosnia and Herz.,2022-07,15864.0,385742.0,2199.451,59.53,119294.393,4906.093
Bosnia and Herz.,2022-08,16049.0,395630.0,3057.956,59.53,122352.352,4963.306
Bosnia and Herz.,2022-09,16136.0,398668.0,939.53,59.53,123291.882,4990.212
Bosnia and Herz.,2022-10,16169.0,399931.0,390.592,59.53,123682.477,5000.418
Bosnia and Herz.,2022-11,16202.0,400527.0,184.317,59.53,123866.796,5010.623
Bosnia and Herz.,2022-12,16234.0,401093.0,175.038,59.53,124041.837,5020.519
Bulgaria,2020-03,8.0,359.0,52.937,0.0,52.935,1.18
Bulgaria,2020-04,64.0,1447.0,160.428,0.0,213.36,9.437
Bulgaria,2020-05,147.0,2513.0,157.183,0.0,370.542,21.675
Bulgaria,2020-06,223.0,4831.0,341.789,0.0,712.331,32.881
Bulgaria,2020-07,374.0,11420.0,971.548,0.0,1683.88,55.146
Bulgaria,2020-08,613.0,16190.0,703.34,0.0,2387.217,90.387
Bulgaria,2020-09,813.0,20547.0,642.439,0.0,3029.657,119.877
Bulgaria,2020-10,1254.0,51041.0,4496.34,0.0,7526.001,184.902
Bulgaria,2020-11,3814.0,142486.0,13483.578,0.0,21009.576,562.375
Bulgaria,2020-12,7515.0,201220.0,8660.335,0.07,29669.911,1108.088
Bulgaria,2021-01,9028.0,218618.0,2565.337,0.61,32235.248,1331.18
Bulgaria,2021-02,10167.0,246706.0,4141.581,3.13,36376.826,1499.125
Bulgaria,2021-03,13068.0,338426.0,13524.123,6.97,49900.95,1926.878
Bulgaria,2021-04,16368.0,403728.0,9628.788,12.02,59529.737,2413.463
Bulgaria,2021-05,17662.0,418274.0,2144.809,20.14,61674.547,2604.264
Bulgaria,2021-06,18049.0,421751.0,512.684,25.97,62187.231,2661.327
Bulgaria,2021-07,18211.0,424872.0,460.19,29.9,62647.422,2685.214
Bulgaria,2021-08,18840.0,453689.0,4249.067,34.1,66896.492,2777.96
Bulgaria,2021-09,20812.0,500112.0,6845.0740000000005,37.45,73741.569,3068.732
Bulgaria,2021-10,23918.0,601035.0,14881.109,42.17,88622.676,3526.712
Bulgaria,2021-11,28325.0,692376.0,13468.239,49.11,102090.916,4176.524
Bulgaria,2021-12,30890.0,744298.0,7655.904,54.57,109746.821,4554.734
Bulgaria,2022-01,33160.0,941814.0,29123.752,61.42,138870.576,4889.446
