location,median_age,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,smokers,total_deaths_per_million,people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred
Albania,38.0,8.643,11803.431,304.195,10.08,78.57,58.300000000000004,1265.165,44.68,47.22
Austria,44.4,13.748,45436.686,145.183,6.35,81.54,59.3,2413.862,74.73,77.16
Belarus,40.3,9.788,17167.967,443.129,5.18,74.79,56.6,746.516,67.15,68.36
Belgium,41.8,12.849,42658.576,114.898,4.29,81.63,56.5,2861.721,78.65,79.49
Bosnia and Herz.,42.5,10.711,11713.895,329.635,10.08,77.4,77.9,5020.519,26.17,29.18
Bulgaria,44.7,13.272,18563.307,424.688,5.81,75.05,74.5,5618.734,30.59,31.03
Croatia,44.0,13.053,22669.797,253.782,5.59,78.49,74.19999999999999,4362.636,55.84,57.58
Czechia,43.3,11.58,32605.906,227.485,6.82,79.38,68.8,4016.585,65.67,66.46
Denmark,42.3,12.325,46682.515,114.767,6.41,80.9,38.1,1322.961,80.59,81.19
Estonia,42.7,13.491,29481.252,255.569,4.02,78.74,63.8,2151.48,64.92,65.5
Finland,42.8,13.264,40585.721,153.507,5.76,81.91,40.900000000000006,1549.431,78.46,81.65
France,42.0,13.079,38605.671,86.06,4.77,82.66,65.7,2449.733,78.37,80.58
Germany,46.6,15.957,45229.245,156.139,8.31,81.33,61.3,1994.462,76.23,77.8
Greece,45.3,14.524,24574.382,175.695,4.55,82.24,87.3,3363.033,73.6,76.38
Hungary,43.4,11.976,26777.561,278.296,7.55,76.88,61.599999999999994,4865.408,62.28,64.42
Iceland,37.3,9.207,46482.958,117.992,5.31,82.99,29.5,659.689,77.82,83.07
Ireland,38.7,8.678,67335.293,126.459,3.28,82.3,48.7,1685.61,80.83,81.75
Italy,47.9,16.24,35220.084,113.151,4.78,83.51,47.6,3130.08,81.24,86.2
Kosovo,30.0597,8.0,9795.834,258.5,9.2,79.0221,25.7,1791.13,46.29,50.88
Latvia,43.9,14.136,25063.846,350.06,4.91,75.29,76.6,3331.255,70.57,72.74
Lithuania,43.5,13.778,29524.265,342.989,3.67,75.93,59.3,3447.927,68.36,71.14
Luxembourg,39.7,9.842,94277.965,128.275,4.42,82.25,46.9,1837.551,5.85,74.41
Moldova,37.6,6.955,5189.972,408.502,5.72,71.9,50.5,3645.898,32.81,33.74
Montenegro,39.1,9.395,16409.288,387.305,10.08,76.88,91.9,4450.774,45.43,46.69
Netherlands,43.2,11.881,48472.545,109.361,5.29,82.28,51.7,1308.926,68.08,72.74
North Macedonia,39.1,8.16,13111.214,322.688,10.08,75.8,48.4,4592.077,40.03,40.81
Norway,39.7,10.813,64800.057,114.316,5.31,82.4,40.3,889.347,74.61,79.99
Poland,41.8,10.202,27216.445,227.331,5.91,78.73,56.400000000000006,2973.946,56.76,57.33
Portugal,46.2,14.924,27936.896,127.842,9.85,82.05,46.3,2512.741,86.61,95.23
Romania,43.0,11.69,23313.199,370.946,9.74,76.05,60.0,3427.086,41.28,27.85
Russia,39.6,9.393,24765.954,431.297,6.18,72.58,81.69999999999999,2720.634,54.54,60.58
Serbia,41.2,15.51790763061872,14048.881,439.415,10.08,76.0,77.9,2548.917,47.71,48.81
Slovakia,41.2,9.167,30155.152,287.959,7.29,77.54,60.800000000000004,3689.761,45.68,46.0
Slovenia,44.5,12.93,31400.84,153.493,7.25,81.32,45.1,4167.29,57.66,59.71
Spain,45.5,13.799,34272.36,99.403,7.17,83.56,58.8,2492.019,85.62,86.91
Sweden,41.0,13.433,46949.283,133.982,4.79,82.8,37.7,2114.443,71.95,73.68
Switzerland,43.1,12.644,57410.166,99.739,5.59,83.78,51.5,1588.244,68.78,69.74
Ukraine,41.4,11.133,7894.393,539.849,7.11,72.06,60.9,2791.137,38.17,39.73
United Kingdom,40.8,12.527,39753.244,122.137,4.28,81.32,44.7,3197.295,75.19,79.71
